"Symbol","Description","Universe","Market Capitalization","Sector","Industry","Same Sub-Industry As","Price/Earnings (TTM)","Price/Book (MRQ)"
"ACOR","Acorda Therapeutics Inc","Domestic","$16M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.21"
"ACFN","Acorn Energy Inc","Domestic","$16M (Micro)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","--","--"
"ACRHF","Acreage Holdings Inc","Domestic","-- ","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"ACR","Acres Commercial Realty Corp","Domestic","$87M (Micro)","Financials","Mortgage Real Estate Investment Trusts (REITs)","Mortgage REITs","16.07","0.20"
"ACRV","Acrivon Therapeutics Inc","Domestic","-- ","Health Care","Biotechnology","Biotechnology","--","--"
"ACBM","ACRO Biomedical Co Ltd","Domestic","$240M (Micro)","Health Care","Health Care Providers & Services","Health Care Distributors","--","417.76"
"ASNS","Actelis Networks Inc","Domestic","$10M (Micro)","Information Technology","Communications Equipment","Communications Equipment","--","1.30"
"ATNM","Actinium Pharmaceuticals Inc","Domestic","$304M (Micro)","Health Care","Biotechnology","Biotechnology","--","3.84"
"AHFD","Active Health Foods Inc","Domestic","$3M (Micro)","Consumer Staples","Food Products","Packaged Foods & Meats","0.00","--"
"ATVI","Activision Blizzard Inc","Domestic","$58B (Large)","Communication Services","Entertainment","Interactive Home Entertainment","34.68","3.07"
"AYI","Acuity Brands Inc","Domestic","$6B (Small)","Industrials","Electrical Equipment","Electrical Components & Equipment","16.37","3.10"
"ABOS","Acumen Pharmaceuticals Inc","Domestic","$266M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.34"
"ACUR","Acura Pharmaceuticals Inc","Domestic","$3M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","24.11"
"ACXP","Acurx Pharmaceuticals Inc","Domestic","$38M (Micro)","Health Care","Biotechnology","Biotechnology","--","3.89"
"GOLF","Acushnet Holdings Corp","Domestic","$3B (Small)","Consumer Discretionary","Leisure Products","Leisure Products","19.91","3.25"
"ACUS","Acusphere Inc","Domestic","$50 (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"AFIB","Acutus Medical Inc","Domestic","$18M (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","0.31"
"ACVA","ACV Auctions Inc","Domestic","$1B (Micro)","Industrials","Commercial Services & Supplies","Diversified Support Services","--","2.74"
"ADMP","Adamis Pharmaceuticals Corp","Domestic","$32M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","4.50"
"AE","Adams Resources & Energy Inc","Domestic","$96M (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","12.70","1.02"
"AHCO","Adapthealth Corp","Domestic","$3B (Small)","Health Care","Health Care Providers & Services","Health Care Distributors","33.73","1.34"
"AATV","Adaptive Ad Systems Inc","Domestic","-- ","Information Technology","IT Services","IT Consulting & Other Services","--","--"
"ADPT","Adaptive Biotechnologies Corp","Domestic","$1B (Micro)","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","--","2.41"
"ADDC","Addmaster Corp","Domestic","-- ","Information Technology","Office Electronics","Office Electronics","--","--"
"ADUS","Addus Homecare Corp","Domestic","$2B (Micro)","Health Care","Health Care Providers & Services","Health Care Services","38.97","2.80"
"AEY","ADDvantage Technologies Group Inc","Domestic","$26M (Micro)","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","--","2.59"
"ADEA","Adeia Inc","Domestic","$1B (Micro)","Information Technology","Software","Systems Software","--","1.04"
"ATRX","Adhera Therapeutics Inc","Domestic","$2M (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"ADIA","Adia Nutrition Inc","Domestic","-- ","Consumer Staples","Personal Products","Personal Products","--","--"
"ADIL","Adial Pharmaceuticals Inc","Domestic","$8M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"ACET","Adicet Bio Inc","Domestic","$728M (Micro)","Health Care","Biotechnology","Biotechnology","--","2.29"
"ADNT","Adient PLC","Domestic","$4B (Small)","Consumer Discretionary","Auto Components","Auto Parts & Equipment","--","1.76"
"ADKT","Adirondack Trust Co","Domestic","-- ","Financials","Banks","Regional Banks","--","--"
"ADTX","Aditxt Inc","Domestic","$7M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.34"
"ADMT","ADM Tronics Unlimited Inc","Domestic","$5M (Micro)","Materials","Chemicals","Commodity Chemicals","--","2.87"
"ADMA","ADMA Biologics Inc","Domestic","$626M (Micro)","Health Care","Biotechnology","Biotechnology","--","6.23"
"ADBE","Adobe Inc","Domestic","$157B (Large)","Information Technology","Software","Application Software","33.31","10.98"
"ASPR","Adsouth Partners Inc","Domestic","$976 (Micro)","Communication Services","Media","Advertising","--","--"
"ADT","ADT Inc","Domestic","$8B (Mid)","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","--","2.56"
"ATGE","Adtalem Global Education Inc","Domestic","$2B (Micro)","Consumer Discretionary","Diversified Consumer Services","Education Services","37.66","1.22"
"ADTH","AdTheorent Holding Company Inc","Domestic","$167M (Micro)","Communication Services","Media","Advertising","4.55","1.15"
"ADTN","ADTRAN Holdings Inc","Domestic","$2B (Micro)","Information Technology","Communications Equipment","Communications Equipment","--","2.88"
"AAP","Advance Auto Parts Inc","Domestic","$9B (Mid)","Consumer Discretionary","Specialty Retail","Automotive Retail","19.08","3.26"
"ABMT","Advanced Biomedical Technologies Inc","Domestic","$4M (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","--"
"WMS","Advanced Drainage Systems Inc","Domestic","$7B (Small)","Industrials","Building Products","Building Products","15.70","5.90"
"ADES","Advanced Emissions Solutions Inc","Domestic","$51M (Micro)","Materials","Chemicals","Specialty Chemicals","682.86","0.36"
