"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"MODG","Topgolf Callaway Brands Corp","Domestic","2.97%","19.78","Consumer Discretionary","Leisure Products","Leisure Products","$4B (Small)"
"CPA","Copa Holdings SA","Domestic","11.85%","9.11","Industrials","Airlines","Airlines","$4B (Small)"
"AIMC","Altra Industrial Motion Corp","Domestic","0.48%","233.23","Industrials","Machinery","Industrial Machinery","$4B (Small)"
"SMPL","Simply Good Foods Co","Domestic","5.52%","35.68","Consumer Staples","Food Products","Packaged Foods & Meats","$4B (Small)"
"ATI","ATI Inc","Domestic","1.23%","311.05","Materials","Metals & Mining","Steel","$4B (Small)"
"VSCO","Victoria's Secret & Co","Domestic","15.92%","8.91","Consumer Discretionary","Specialty Retail","Apparel Retail","$4B (Small)"
"SANM","Sanmina Corp","Domestic","10.56%","16.29","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$4B (Small)"
"BECN","Beacon Roofing Supply Inc","Domestic","10.56%","10.83","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$4B (Small)"
"APLE","Apple Hospitality REIT Inc","Domestic","3.35%","24.76","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","$4B (Small)"
"TRTN","Triton International Ltd","Domestic","6.45%","5.85","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$4B (Small)"
"CUZ","Cousins Properties Inc","Domestic","4.37%","12.40","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$4B (Small)"
"PCH","Potlatchdeltic Corp","Domestic","12.01%","9.10","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$4B (Small)"
"PINC","Premier Inc","Domestic","7.05%","21.33","Health Care","Health Care Providers & Services","Health Care Services","$4B (Small)"
"HRI","Herc Holdings Inc","Domestic","6.90%","13.36","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$4B (Small)"
"FELE","Franklin Electric Co Inc","Domestic","15.87%","21.19","Industrials","Machinery","Industrial Machinery","$4B (Small)"
"MLI","Mueller Industries Inc","Domestic","42.41%","6.08","Industrials","Machinery","Industrial Machinery","$4B (Small)"
"ONTO","Onto Innovation Inc","Domestic","13.27%","19.47","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$4B (Small)"
"IRT","Independence Realty Trust Inc","Domestic","2.86%","29.24","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$4B (Small)"
"SSD","Simpson Manufacturing Co Inc","Domestic","20.76%","11.56","Industrials","Building Products","Building Products","$4B (Small)"
"ALIT","Alight Inc","Domestic","0.82%","49.79","Industrials","Professional Services","Human Resource & Employment Services","$4B (Small)"
"GATX","GATX Corp","Domestic","1.41%","24.09","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$4B (Small)"
"ABG","Asbury Automotive Group Inc","Domestic","16.40%","5.12","Consumer Discretionary","Specialty Retail","Automotive Retail","$4B (Small)"
"LNTH","Lantheus Holdings Inc","Domestic","13.13%","38.89","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$4B (Small)"
"ACDC","ProFrac Holding Corp","Domestic","371.60%","63.49","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$4B (Small)"
"ABCL","Abcellera Biologics Inc","Domestic","19.33%","17.49","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$4B (Small)"
"PVH","PVH Corp","Domestic","9.41%","4.70","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$4B (Small)"
"DIOD","Diodes Inc","Domestic","18.80%","13.31","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$4B (Small)"
"ASO","Academy Sports and Outdoors Inc","Domestic","18.37%","7.06","Consumer Discretionary","Specialty Retail","Specialty Stores","$4B (Small)"
"SYNA","Synaptics Inc","Domestic","14.21%","14.72","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$4B (Small)"
"ALSN","Allison Transmission Holdings Inc","Domestic","12.40%","8.52","Industrials","Machinery","Construction Machinery & Heavy Trucks","$4B (Small)"
"MMSI","Merit Medical Systems Inc","Domestic","4.33%","66.99","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$4B (Small)"
"SPWR","SunPower Corp","Domestic","12.83%","40.18","Industrials","Electrical Equipment","Electrical Components & Equipment","$4B (Small)"
"AJRD","Aerojet Rocketdyne Holdings Inc","Domestic","6.34%","44.73","Industrials","Aerospace & Defense","Aerospace & Defense","$4B (Small)"
"AVT","Avnet Inc","Domestic","12.34%","5.76","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$4B (Small)"
"CVI","CVR Energy Inc","Domestic","19.48%","12.15","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$4B (Small)"
"FLS","Flowserve Corp","Domestic","2.63%","49.19","Industrials","Machinery","Industrial Machinery","$4B (Small)"
"BSM","Black Stone Minerals LP","Domestic","36.94%","9.95","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$4B (Small)"
"CABO","Cable One Inc","Domestic","5.67%","11.89","Communication Services","Media","Cable & Satellite","$4B (Small)"
"KEX","Kirby Corp","Domestic","1.98%","43.36","Industrials","Marine","Marine","$4B (Small)"
"CBT","Cabot Corp","Domestic","10.83%","20.37","Materials","Chemicals","Commodity Chemicals","$4B (Small)"
"ZD","Ziff Davis Inc","Domestic","12.58%","11.26","Communication Services","Interactive Media & Services","Interactive Media & Services","$4B (Small)"
"BFAM","Bright Horizons Family Solutions Inc","Domestic","2.60%","53.23","Consumer Discretionary","Diversified Consumer Services","Education Services","$4B (Small)"
"CRUS","Cirrus Logic Inc","Domestic","19.46%","12.63","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$4B (Small)"
"FUL","H.B. Fuller Company","Domestic","4.80%","23.68","Materials","Chemicals","Specialty Chemicals","$4B (Small)"
"WHD","Cactus Inc","Domestic","15.75%","35.68","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$4B (Small)"
"HAE","Haemonetics Corp","Domestic","5.52%","49.75","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$4B (Small)"
"DV","DoubleVerify Holdings Inc","Domestic","6.25%","83.76","Information Technology","Software","Application Software","$4B (Small)"
"LSXMA","Liberty Media Corp","Domestic","4.95%","16.30","Communication Services","Entertainment","Movies & Entertainment","$4B (Small)"
"VC","Visteon Corp","Domestic","10.37%","35.28","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$4B (Small)"
"AAON","Aaon Inc","Domestic","12.46%","63.35","Industrials","Building Products","Building Products","$4B (Small)"
"MMS","Maximus Inc","Domestic","6.23%","21.37","Information Technology","IT Services","Data Processing & Outsourced Services","$4B (Small)"
"BTU","Peabody Energy Corp","Domestic","31.05%","3.80","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels","$4B (Small)"
"XPO","XPO Logistics Inc","Domestic","14.70%","4.88","Industrials","Road & Rail","Trucking","$4B (Small)"
"TGNA","Tegna Inc","Domestic","8.17%","8.08","Communication Services","Media","Broadcasting","$4B (Small)"
"KNBE","Knowbe4 Inc","Domestic","5.05%","282.93","Information Technology","Software","Systems Software","$4B (Small)"
"TNET","TriNet Group Inc","Domestic","24.55%","12.04","Industrials","Professional Services","Human Resource & Employment Services","$4B (Small)"
"POWI","Power Integrations Inc","Domestic","21.97%","24.00","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$4B (Small)"
"CWST","Casella Waste Systems Inc","Domestic","4.60%","81.78","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$4B (Small)"
"CALX","Calix Inc","Domestic","7.74%","94.60","Information Technology","Communications Equipment","Communications Equipment","$4B (Small)"
"ZWS","Zurn Elkay Water Solutions Corp","Domestic","1.70%","58.15","Industrials","Building Products","Building Products","$4B (Small)"
"IPGP","IPG Photonics Corp","Domestic","9.75%","17.81","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$4B (Small)"
"FOXF","Fox Factory Holding Corp","Domestic","14.31%","23.37","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$4B (Small)"
"CRK","Comstock Resources Inc","Domestic","23.60%","5.15","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$4B (Small)"
"TRNO","Terreno Realty Corp","Domestic","6.37%","25.95","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","$4B (Small)"
"MAN","ManpowerGroup Inc","Domestic","10.65%","10.96","Industrials","Professional Services","Human Resource & Employment Services","$4B (Small)"
"IART","Integra Lifesciences Holdings Corp","Domestic","4.98%","26.26","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$5B (Small)"
"ASGN","ASGN Inc","Domestic","8.99%","16.95","Industrials","Professional Services","Human Resource & Employment Services","$5B (Small)"
"COKE","Coca-Cola Consolidated Inc","Domestic","12.32%","16.01","Consumer Staples","Beverages","Soft Drinks","$5B (Small)"
"NSP","Insperity Inc","Domestic","21.70%","30.55","Industrials","Professional Services","Human Resource & Employment Services","$5B (Small)"
"EEFT","Euronet Worldwide Inc","Domestic","5.77%","30.27","Information Technology","IT Services","Data Processing & Outsourced Services","$5B (Small)"
"FIX","Comfort Systems USA Inc","Domestic","16.81%","20.10","Industrials","Construction & Engineering","Construction & Engineering","$5B (Small)"
"BCPC","Balchem Corp","Domestic","8.49%","42.17","Materials","Chemicals","Specialty Chemicals","$5B (Small)"
"SNDR","Schneider National Inc","Domestic","14.33%","9.49","Industrials","Road & Rail","Trucking","$5B (Small)"
"THO","Thor Industries Inc","Domestic","21.73%","4.14","Consumer Discretionary","Automobiles","Automobile Manufacturers","$5B (Small)"
"SAM","Boston Beer Company Inc","Domestic","2.25%","172.52","Consumer Staples","Beverages","Brewers","$5B (Small)"
"SEB","Seaboard Corp","Domestic","8.05%","9.59","Consumer Staples","Food Products","Packaged Foods & Meats","$5B (Small)"
"WEN","Wendys Co","Domestic","3.82%","24.87","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$5B (Small)"
"ESI","Element Solutions Inc","Domestic","3.89%","26.50","Materials","Chemicals","Specialty Chemicals","$5B (Small)"
"RRR","Red Rock Resorts Inc","Domestic","14.08%","14.06","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$5B (Small)"
"SMCI","Super Micro Computer Inc","Domestic","27.15%","10.75","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","$5B (Small)"
"LPX","Louisiana-Pacific Corp","Domestic","55.39%","4.87","Materials","Paper & Forest Products","Forest Products","$5B (Small)"
"QLYS","Qualys Inc","Domestic","22.93%","48.21","Information Technology","Software","Systems Software","$5B (Small)"
"R","Ryder System Inc","Domestic","8.03%","5.74","Industrials","Road & Rail","Trucking","$5B (Small)"
"SPSC","SPS Commerce Inc","Domestic","10.11%","92.62","Information Technology","Software","Application Software","$5B (Small)"
"SLAB","Silicon Laboratories Inc","Domestic","2.06%","72.90","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$5B (Small)"
"DEN","Denbury Inc","Domestic","25.07%","15.16","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$5B (Small)"
"WING","Wingstop Inc","Domestic","15.32%","112.04","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$5B (Small)"
"LEG","Leggett & Platt Inc","Domestic","8.95%","13.44","Consumer Discretionary","Household Durables","Home Furnishings","$5B (Small)"
"FIZZ","National Beverage Corp","Domestic","35.81%","33.86","Consumer Staples","Beverages","Soft Drinks","$5B (Small)"
"FN","Fabrinet","Domestic","17.35%","21.85","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$5B (Small)"
"BLD","TopBuild Corp","Domestic","15.69%","9.87","Consumer Discretionary","Household Durables","Homebuilding","$5B (Small)"
"VNO","Vornado Realty Trust","Domestic","1.13%","49.43","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$5B (Small)"
"SRCL","Stericycle Inc","Domestic","0.24%","449.70","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$5B (Small)"
"MSM","MSC Industrial Direct Co Inc","Domestic","17.55%","14.09","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$5B (Small)"
"THC","Tenet Healthcare Corp","Domestic","6.19%","8.76","Health Care","Health Care Providers & Services","Health Care Facilities","$5B (Small)"
"ATKR","Atkore Inc","Domestic","48.30%","5.89","Industrials","Electrical Equipment","Electrical Components & Equipment","$5B (Small)"
"IGT","International Game Technology PLC","Domestic","5.95%","13.72","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$5B (Small)"
"GTLS","Chart Industries Inc","Domestic","3.41%","72.11","Industrials","Machinery","Industrial Machinery","$5B (Small)"
"KRC","Kilroy Realty Corp","Domestic","2.64%","21.54","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$5B (Small)"
"HGV","Hilton Grand Vacations Inc","Domestic","4.88%","14.74","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$5B (Small)"
"UNVR","Univar Solutions Inc","Domestic","11.83%","8.10","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$5B (Small)"
"MTSI","MACOM Technology Solutions Holdings Inc","Domestic","34.98%","11.21","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$5B (Small)"
"NE","Noble Corporation PLC","Domestic","7.93%","21.18","Energy","Energy Equipment & Services","Oil & Gas Drilling","$5B (Small)"
"EXP","Eagle Materials Inc","Domestic","16.77%","12.35","Materials","Construction Materials","Construction Materials","$5B (Small)"
"CC","Chemours Co","Domestic","15.73%","5.86","Materials","Chemicals","Diversified Chemicals","$5B (Small)"
"COHR","Coherent Corp","Domestic","1.34%","91.43","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","$5B (Small)"
"VAL","Valaris Ltd","Domestic","7.97%","28.76","Energy","Energy Equipment & Services","Oil & Gas Drilling","$5B (Small)"
"UFPI","Ufp Industries Inc","Domestic","27.60%","7.32","Industrials","Building Products","Building Products","$5B (Small)"
"TREX","Trex Company Inc","Domestic","27.37%","26.12","Industrials","Building Products","Building Products","$5B (Small)"
"PSN","Parsons Corp","Domestic","4.49%","56.44","Industrials","Aerospace & Defense","Aerospace & Defense","$5B (Small)"
"AIT","Applied Industrial Technologies Inc","Domestic","14.58%","18.17","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$5B (Small)"
"RHP","Ryman Hospitality Properties Inc","Domestic","2.09%","82.63","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","$5B (Small)"
"GXO","GXO Logistics Inc","Domestic","3.72%","23.99","Industrials","Air Freight & Logistics","Air Freight & Logistics","$5B (Small)"
"MKSI","MKS Instruments Inc","Domestic","6.01%","9.94","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$5B (Small)"
"SHLS","Shoals Technologies Group Inc","Domestic","5.49%","216.41","Industrials","Electrical Equipment","Electrical Components & Equipment","$5B (Small)"
"IAA","IAA Inc","Domestic","10.99%","17.79","Industrials","Commercial Services & Supplies","Diversified Support Services","$5B (Small)"
"EXPO","Exponent Inc","Domestic","21.48%","52.94","Industrials","Professional Services","Research & Consulting Services","$5B (Small)"
"HXL","Hexcel Corp","Domestic","3.98%","47.52","Industrials","Aerospace & Defense","Aerospace & Defense","$5B (Small)"
"LTHM","Livent Corp","Domestic","13.64%","29.51","Materials","Chemicals","Specialty Chemicals","$5B (Small)"
"OLED","Universal Display Corp","Domestic","14.45%","27.53","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$5B (Small)"
"VRT","Vertiv Holdings Co","Domestic","1.67%","72.15","Industrials","Electrical Equipment","Electrical Components & Equipment","$5B (Small)"
"TOL","Toll Brothers Inc","Domestic","11.64%","5.44","Consumer Discretionary","Household Durables","Homebuilding","$5B (Small)"
"LHCG","LHC Group Inc","Domestic","3.57%","82.14","Health Care","Health Care Providers & Services","Health Care Services","$5B (Small)"
"ENSG","Ensign Group Inc","Domestic","8.48%","25.13","Health Care","Health Care Providers & Services","Health Care Facilities","$5B (Small)"
"OPCH","Option Care Health Inc","Domestic","7.46%","29.41","Health Care","Health Care Providers & Services","Health Care Services","$5B (Small)"
"BC","Brunswick Corp","Domestic","14.83%","8.63","Consumer Discretionary","Leisure Products","Leisure Products","$5B (Small)"
"RYN","Rayonier Inc","Domestic","3.44%","65.37","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$5B (Small)"
"WTS","Watts Water Technologies Inc","Domestic","15.11%","23.99","Industrials","Machinery","Industrial Machinery","$5B (Small)"
"AM","Antero Midstream Corp","Domestic","5.92%","16.60","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$5B (Small)"
"GPS","Gap Inc","Domestic","0.42%","135.85","Consumer Discretionary","Specialty Retail","Apparel Retail","$5B (Small)"
"CNM","Core & Main Inc","Domestic","16.13%","11.72","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$5B (Small)"
"AQUA","Evoqua Water Technologies Corp","Domestic","4.57%","75.95","Industrials","Machinery","Industrial Machinery","$5B (Small)"
"VNOM","Viper Energy Partners LP","Domestic","49.32%","14.62","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$5B (Small)"
"NATI","National Instruments Corp","Domestic","8.47%","39.01","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$5B (Small)"
"BWXT","BWX Technologies Inc","Domestic","14.35%","17.39","Industrials","Aerospace & Defense","Aerospace & Defense","$5B (Small)"
"AMN","AMN Healthcare Services Inc","Domestic","22.81%","12.00","Health Care","Health Care Providers & Services","Health Care Services","$5B (Small)"
"TPX","Tempur Sealy International Inc","Domestic","16.23%","11.13","Consumer Discretionary","Household Durables","Home Furnishings","$5B (Small)"
"NWL","Newell Brands Inc","Domestic","5.29%","9.74","Consumer Discretionary","Household Durables","Housewares & Specialties","$5B (Small)"
"COLM","Columbia Sportswear Co","Domestic","15.26%","16.33","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$5B (Small)"
"WU","Western Union Co","Domestic","11.15%","6.68","Information Technology","IT Services","Data Processing & Outsourced Services","$5B (Small)"
"TKR","Timken Co","Domestic","9.37%","15.10","Industrials","Machinery","Industrial Machinery","$5B (Small)"
"SM","SM Energy Co","Domestic","29.07%","4.51","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$5B (Small)"
"HUN","Huntsman Corp","Domestic","18.41%","5.33","Materials","Chemicals","Diversified Chemicals","$5B (Small)"
"MSA","MSA Safety Inc","Domestic","3.49%","80.22","Industrials","Commercial Services & Supplies","Office Services & Supplies","$5B (Small)"
"POST","Post Holdings Inc","Domestic","7.63%","7.95","Consumer Staples","Food Products","Packaged Foods & Meats","$5B (Small)"
"AIRC","Apartment Income REIT Corp","Domestic","17.67%","6.10","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$6B (Small)"
"EXEL","Exelixis Inc","Domestic","12.72%","18.03","Health Care","Biotechnology","Biotechnology","$6B (Small)"
"SITE","SiteOne Landscape Supply Inc","Domestic","15.06%","20.62","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$6B (Small)"
"PENN","PENN Entertainment Inc","Domestic","1.58%","26.21","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$6B (Small)"
"HTZ","Hertz Global Holdings Inc","Domestic","9.65%","5.31","Industrials","Road & Rail","Trucking","$6B (Small)"
"NOVT","Novanta Inc","Domestic","7.00%","78.00","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$6B (Small)"
"LANC","Lancaster Colony Corp","Domestic","10.29%","58.48","Consumer Staples","Food Products","Packaged Foods & Meats","$6B (Small)"
"EHC","Encompass Health Corp","Domestic","7.79%","19.52","Health Care","Health Care Providers & Services","Health Care Facilities","$6B (Small)"
"HP","Helmerich and Payne Inc","Domestic","0.16%","1,151.25","Energy","Energy Equipment & Services","Oil & Gas Drilling","$6B (Small)"
"VAC","Marriott Vacations Worldwide Corp","Domestic","4.30%","18.58","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$6B (Small)"
"CMC","Commercial Metals Co","Domestic","28.51%","4.88","Materials","Metals & Mining","Steel","$6B (Small)"
"SLGN","Silgan Holdings Inc","Domestic","7.07%","14.48","Materials","Containers & Packaging","Metal & Glass Containers","$6B (Small)"
"DTM","DT Midstream Inc","Domestic","4.85%","15.53","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$6B (Small)"
"MGY","Magnolia Oil & Gas Corp","Domestic","67.09%","6.13","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$6B (Small)"
"ALGM","Allegro Microsystems Inc","Domestic","15.14%","48.81","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$6B (Small)"
"PBF","PBF Energy Inc","Domestic","35.11%","2.48","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$6B (Small)"
"VVV","Valvoline Inc","Domestic","4.27%","53.80","Materials","Chemicals","Commodity Chemicals","$6B (Small)"
"AXTA","Axalta Coating Systems Ltd","Domestic","3.56%","29.33","Materials","Chemicals","Specialty Chemicals","$6B (Small)"
"CIVI","Civitas Resources Inc","Domestic","27.92%","4.99","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$6B (Small)"
"ALK","Alaska Air Group Inc","Domestic","0.41%","155.56","Industrials","Airlines","Airlines","$6B (Small)"
"NYT","New York Times Co","Domestic","8.88%","34.24","Communication Services","Media","Publishing","$6B (Small)"
"QDEL","Quidelortho Corp","Domestic","16.88%","5.27","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$6B (Small)"
"STAG","STAG Industrial Inc","Domestic","4.40%","24.65","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","$6B (Small)"
"CR","Crane Holdings Co","Domestic","11.02%","16.04","Industrials","Machinery","Industrial Machinery","$6B (Small)"
"SRC","Spirit Realty Capital Inc","Domestic","3.49%","22.28","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$6B (Small)"
"WWE","World Wrestling Entertainment Inc","Domestic","26.17%","31.73","Communication Services","Entertainment","Movies & Entertainment","$6B (Small)"
"FCN","FTI Consulting Inc","Domestic","9.44%","27.21","Industrials","Professional Services","Research & Consulting Services","$6B (Small)"
"WWD","Woodward Inc","Domestic","4.91%","36.38","Industrials","Aerospace & Defense","Aerospace & Defense","$6B (Small)"
"CROX","Crocs Inc","Domestic","20.77%","10.61","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear","$6B (Small)"
"AN","AutoNation Inc","Domestic","24.25%","4.90","Consumer Discretionary","Specialty Retail","Automotive Retail","$6B (Small)"
"SON","Sonoco Products Co","Domestic","9.62%","13.86","Materials","Containers & Packaging","Paper Packaging","$6B (Small)"
"PR","Permian Resources Corp","Domestic","15.91%","5.84","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$6B (Small)"
"NVST","Envista Holdings Corp","Domestic","3.96%","31.58","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$6B (Small)"
"MP","Mp Materials Corp","Domestic","13.92%","23.84","Materials","Metals & Mining","Diversified Metals & Mining","$6B (Small)"
"IONS","Ionis Pharmaceuticals Inc","Domestic","0.34%","728.72","Health Care","Biotechnology","Biotechnology","$6B (Small)"
"SAIC","Science Applications International Corp","Domestic","5.87%","23.82","Industrials","Professional Services","Research & Consulting Services","$6B (Small)"
"LUMN","Lumen Technologies Inc","Domestic","4.22%","2.92","Communication Services","Diversified Telecommunication Services","Alternative Carriers","$6B (Small)"
"LFUS","Littelfuse Inc","Domestic","11.17%","18.37","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","$6B (Small)"
"X","United States Steel Corp","Domestic","23.65%","2.15","Materials","Metals & Mining","Steel","$6B (Small)"
"ASH","Ashland Inc","Domestic","3.19%","34.56","Materials","Chemicals","Specialty Chemicals","$6B (Small)"
"DOCS","Doximity Inc","Domestic","16.75%","47.95","Health Care","Health Care Technology","Health Care Technology","$6B (Small)"
"LSTR","Landstar System Inc","Domestic","42.67%","13.93","Industrials","Road & Rail","Trucking","$6B (Small)"
"ENLC","EnLink Midstream LLC","Domestic","6.68%","24.64","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$6B (Small)"
"SAIA","Saia Inc","Domestic","22.16%","17.09","Industrials","Road & Rail","Trucking","$6B (Small)"
"CNXC","Concentrix Corp","Domestic","9.24%","13.72","Information Technology","IT Services","Data Processing & Outsourced Services","$6B (Small)"
"FYBR","Frontier Communications Parent Inc","Domestic","3.15%","12.92","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","$6B (Small)"
"OSK","Oshkosh Corp","Domestic","1.95%","68.49","Industrials","Machinery","Construction Machinery & Heavy Trucks","$6B (Small)"
"LAD","Lithia Motors Inc","Domestic","13.59%","5.03","Consumer Discretionary","Specialty Retail","Automotive Retail","$6B (Small)"
"EXLS","Exlservice Holdings Inc","Domestic","14.06%","45.27","Information Technology","IT Services","Data Processing & Outsourced Services","$6B (Small)"
"PPC","Pilgrims Pride Corp","Domestic","14.42%","6.72","Consumer Staples","Food Products","Packaged Foods & Meats","$6B (Small)"
"AYI","Acuity Brands Inc","Domestic","13.64%","17.25","Industrials","Electrical Equipment","Electrical Components & Equipment","$6B (Small)"
"SKX","Skechers USA Inc","Domestic","16.69%","9.03","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear","$6B (Small)"
"FLO","Flowers Foods Inc","Domestic","7.92%","28.72","Consumer Staples","Food Products","Packaged Foods & Meats","$6B (Small)"
"ADC","Agree Realty Corp","Domestic","2.56%","39.75","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$6B (Small)"
"MAT","Mattel Inc","Domestic","12.35%","10.61","Consumer Discretionary","Leisure Products","Leisure Products","$6B (Small)"
"OGN","Organon & Co","Domestic","12.39%","6.26","Health Care","Pharmaceuticals","Pharmaceuticals","$6B (Small)"
"MDU","MDU Resources Group Inc","Domestic","4.28%","19.28","Industrials","Construction & Engineering","Construction & Engineering","$6B (Small)"
"BYD","Boyd Gaming Corp","Domestic","10.10%","11.69","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$6B (Small)"
"CHX","ChampionX Corp","Domestic","4.98%","50.82","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$6B (Small)"
"LEVI","Levi Strauss & Co","Domestic","13.85%","11.43","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$6B (Small)"
"M","Macy's Inc","Domestic","12.23%","4.92","Consumer Discretionary","Multiline Retail","Department Stores","$6B (Small)"
"RH","RH","Domestic","18.62%","12.10","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","$6B (Small)"
"INGR","Ingredion Inc","Domestic","8.41%","14.80","Consumer Staples","Food Products","Agricultural Products","$6B (Small)"
"DDS","Dillard's Inc","Domestic","37.86%","7.42","Consumer Discretionary","Multiline Retail","Department Stores","$6B (Small)"
"MHK","Mohawk Industries Inc","Domestic","1.69%","39.45","Consumer Discretionary","Household Durables","Home Furnishings","$6B (Small)"
"CHRD","Chord Energy Corp","Domestic","33.26%","4.44","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$6B (Small)"
"COTY","Coty Inc","Domestic","1.70%","91.22","Consumer Staples","Personal Products","Personal Products","$6B (Small)"
