"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"KRP","Kimbell Royalty Partners LP","Domestic","21.07%","11.59","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$1B (Micro)"
"KNSA","Kiniksa Pharmaceuticals Ltd","Domestic","45.85%","7.94","Health Care","Biotechnology","Biotechnology","$1B (Micro)"
"KOP","Koppers Holdings Inc","Domestic","5.29%","8.95","Materials","Chemicals","Commodity Chemicals","$632M (Micro)"
"KOSS","Koss Corp","Domestic","35.61%","5.45","Consumer Discretionary","Household Durables","Consumer Electronics","$57M (Micro)"
"KRO","Kronos Worldwide Inc","Domestic","9.29%","7.34","Materials","Chemicals","Commodity Chemicals","$1B (Micro)"
"SCX","L S Starrett Co","Domestic","10.22%","3.65","Industrials","Machinery","Industrial Machinery","$50M (Micro)"
"LZB","La-Z-Boy Inc","Domestic","13.72%","6.97","Consumer Discretionary","Household Durables","Home Furnishings","$1B (Micro)"
"LAKE","Lakeland Industries Inc","Domestic","3.51%","24.89","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$104M (Micro)"
"LANZ","Lancer Orthodontics Inc","Domestic","3.35%","2.46","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$277K (Micro)"
"LE","Lands End Inc","Domestic","1.26%","36.76","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$358M (Micro)"
"LSEA","Landsea Homes Corp","Domestic","8.07%","2.78","Consumer Discretionary","Household Durables","Homebuilding","$223M (Micro)"
"LPI","Laredo Petroleum Inc","Domestic","36.82%","1.51","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$1B (Micro)"
"SWIM","Latham Group Inc","Domestic","1.03%","44.62","Consumer Discretionary","Leisure Products","Leisure Products","$334M (Micro)"
"LAUR","Laureate Education Inc","Domestic","1.88%","68.66","Consumer Discretionary","Diversified Consumer Services","Education Services","$2B (Micro)"
"LAZY","Lazydays Holdings Inc","Domestic","20.16%","2.61","Consumer Discretionary","Specialty Retail","Automotive Retail","$144M (Micro)"
"LFLY","Leafly Holdings Inc","Domestic","11.81%","6.60","Communication Services","Interactive Media & Services","Interactive Media & Services","$26M (Micro)"
"LEE","Lee Enterprises Inc","Domestic","1.80%","10.39","Communication Services","Media","Publishing","$104M (Micro)"
"LEGH","Legacy Housing Corp","Domestic","18.09%","7.11","Consumer Discretionary","Household Durables","Homebuilding","$432M (Micro)"
"LMAT","LeMaitre Vascular Inc","Domestic","7.76%","48.16","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$1B (Micro)"
"LIFD","LFTD Partners Inc","Domestic","23.68%","4.81","Consumer Staples","Personal Products","Personal Products","$34M (Micro)"
"LBRDA","Liberty Broadband Corp","Domestic","9.01%","10.03","Communication Services","Media","Cable & Satellite","$2B (Micro)"
"BATRA","Liberty Media Corp","Domestic","2.64%","67.32","Communication Services","Media","Cable & Satellite","$344M (Micro)"
"FWONA","Liberty Media Corp","Domestic","0.38%","341.29","Communication Services","Entertainment","Movies & Entertainment","$1B (Micro)"
"LTRPA","Liberty Tripadvisor Holdings Inc","Domestic","2.39%","1.20","Communication Services","Interactive Media & Services","Interactive Media & Services","$61M (Micro)"
"LICT","LICT Corp","Domestic","9.49%","15.82","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","$378M (Micro)"
"LFVN","LifeVantage Corp","Domestic","0.84%","187.87","Consumer Staples","Personal Products","Personal Products","$51M (Micro)"
"LWAY","Lifeway Foods Inc","Domestic","0.54%","396.20","Consumer Staples","Food Products","Packaged Foods & Meats","$113M (Micro)"
"ZEV","Lightning eMotors Inc","Domestic","25.04%","1.07","Industrials","Machinery","Construction Machinery & Heavy Trucks","$45M (Micro)"
"LMB","Limbach Holdings Inc","Domestic","5.65%","15.42","Industrials","Construction & Engineering","Construction & Engineering","$111M (Micro)"
"LINC","Lincoln Educational Services Corp","Domestic","13.48%","8.12","Consumer Discretionary","Diversified Consumer Services","Education Services","$178M (Micro)"
"LNN","Lindsay Corp","Domestic","12.55%","29.78","Industrials","Machinery","Agricultural & Farm Machinery","$2B (Micro)"
"LPCN","Lipocine Inc","Domestic","11.40%","9.89","Health Care","Pharmaceuticals","Pharmaceuticals","$41M (Micro)"
"LQDT","Liquidity Services Inc","Domestic","45.54%","8.88","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$596M (Micro)"
